coder@coder-sanderw-alt-mulig-machine-8ccccf77c-tjfr4:~$ ls
ikt466-project	teklit-maskin  zsh
coder@coder-sanderw-alt-mulig-machine-8ccccf77c-tjfr4:~$ cd teklit-maskin/
coder@coder-sanderw-alt-mulig-machine-8ccccf77c-tjfr4:~/teklit-maskin$ cat src/main.py.log 
Initialization of sparse structure.
Arguments:
  moves_before_win: 0
  number_of_boards: 100000
  board_size: 21
  epochs: 150
  number_of_clauses: 32000
  T: 6000
  s: 1.5
  number_of_state_bits: 8
  depth: 2
  hypervector_size: 256
  hypervector_bits: 4
  message_size: 82
  message_bits: 4
  double_hashing: False
  one_hot_encoding: False
  max_included_literals: 250
No cache found, loading CSV: data/hex_games_100000_size_21.csv
Generating 100000 games on 21x21 board (stopping 0 moves early)...
Done! Generated 100000 games. Output: hex_games_100000_size_21.csv
No cache found, loading CSV: data/hex_games_100000_size_21.csv
Saving to cache: data/hex_games_100000_size_21_cached.npz
Loaded 100000 games from hex_games_100000_size_21.csv
Creating graphs on dataset of length training: 80000, and test: 20000...
Training for 150 epochs...
Epoch 1/150 Train Accuracy: 55.40% Test Accuracy: 54.73% Time: 562.58s
Epoch 2/150 Train Accuracy: 56.81% Test Accuracy: 55.73% Time: 532.36s
Epoch 3/150 Train Accuracy: 58.80% Test Accuracy: 57.44% Time: 531.97s
Epoch 4/150 Train Accuracy: 59.82% Test Accuracy: 58.51% Time: 531.86s
Epoch 5/150 Train Accuracy: 60.41% Test Accuracy: 59.30% Time: 531.25s
Epoch 6/150 Train Accuracy: 62.62% Test Accuracy: 61.22% Time: 531.59s
Epoch 7/150 Train Accuracy: 63.53% Test Accuracy: 62.34% Time: 531.16s
Epoch 8/150 Train Accuracy: 62.01% Test Accuracy: 61.05% Time: 531.67s
Epoch 9/150 Train Accuracy: 65.16% Test Accuracy: 63.74% Time: 530.56s
Epoch 10/150 Train Accuracy: 64.31% Test Accuracy: 62.90% Time: 530.72s
Epoch 11/150 Train Accuracy: 62.40% Test Accuracy: 61.43% Time: 530.20s
Epoch 12/150 Train Accuracy: 63.55% Test Accuracy: 62.52% Time: 530.62s
Epoch 13/150 Train Accuracy: 63.85% Test Accuracy: 62.54% Time: 530.72s
Epoch 14/150 Train Accuracy: 62.19% Test Accuracy: 61.12% Time: 531.46s
Epoch 15/150 Train Accuracy: 67.88% Test Accuracy: 66.70% Time: 531.11s
Epoch 16/150 Train Accuracy: 68.70% Test Accuracy: 67.40% Time: 530.48s
Epoch 17/150 Train Accuracy: 66.50% Test Accuracy: 65.39% Time: 530.36s
Epoch 18/150 Train Accuracy: 68.89% Test Accuracy: 67.25% Time: 529.63s
Epoch 19/150 Train Accuracy: 70.77% Test Accuracy: 69.12% Time: 529.51s
Epoch 20/150 Train Accuracy: 74.43% Test Accuracy: 72.80% Time: 529.66s
Epoch 21/150 Train Accuracy: 75.75% Test Accuracy: 74.67% Time: 528.47s
Epoch 22/150 Train Accuracy: 76.10% Test Accuracy: 74.44% Time: 529.11s
Epoch 23/150 Train Accuracy: 74.70% Test Accuracy: 73.50% Time: 528.37s
Epoch 24/150 Train Accuracy: 70.09% Test Accuracy: 68.97% Time: 528.74s
Epoch 25/150 Train Accuracy: 74.16% Test Accuracy: 72.90% Time: 528.21s
Epoch 26/150 Train Accuracy: 72.75% Test Accuracy: 71.20% Time: 527.65s
Epoch 27/150 Train Accuracy: 73.18% Test Accuracy: 71.66% Time: 528.33s
Epoch 28/150 Train Accuracy: 69.05% Test Accuracy: 67.99% Time: 527.34s
Epoch 29/150 Train Accuracy: 78.29% Test Accuracy: 76.82% Time: 527.55s
Epoch 30/150 Train Accuracy: 77.98% Test Accuracy: 76.41% Time: 528.34s
Epoch 31/150 Train Accuracy: 75.42% Test Accuracy: 74.33% Time: 527.03s
Epoch 32/150 Train Accuracy: 68.29% Test Accuracy: 67.38% Time: 528.59s
Epoch 33/150 Train Accuracy: 82.02% Test Accuracy: 80.57% Time: 526.27s
Epoch 34/150 Train Accuracy: 80.34% Test Accuracy: 78.94% Time: 526.28s
Epoch 35/150 Train Accuracy: 71.61% Test Accuracy: 70.74% Time: 526.74s
Epoch 36/150 Train Accuracy: 84.40% Test Accuracy: 83.21% Time: 525.94s
Epoch 37/150 Train Accuracy: 78.06% Test Accuracy: 77.19% Time: 526.04s
Epoch 38/150 Train Accuracy: 70.75% Test Accuracy: 69.79% Time: 525.65s
Epoch 39/150 Train Accuracy: 78.58% Test Accuracy: 77.46% Time: 526.23s
Epoch 40/150 Train Accuracy: 83.57% Test Accuracy: 82.49% Time: 529.25s
Epoch 41/150 Train Accuracy: 86.55% Test Accuracy: 85.25% Time: 525.20s
Epoch 42/150 Train Accuracy: 87.13% Test Accuracy: 85.60% Time: 526.20s
Epoch 43/150 Train Accuracy: 87.99% Test Accuracy: 86.88% Time: 525.37s
Epoch 44/150 Train Accuracy: 89.13% Test Accuracy: 88.44% Time: 524.63s
Epoch 45/150 Train Accuracy: 81.92% Test Accuracy: 81.07% Time: 525.60s
Epoch 46/150 Train Accuracy: 84.27% Test Accuracy: 83.45% Time: 524.12s
Epoch 47/150 Train Accuracy: 83.23% Test Accuracy: 81.92% Time: 524.56s
Epoch 48/150 Train Accuracy: 78.61% Test Accuracy: 77.50% Time: 525.17s
Epoch 49/150 Train Accuracy: 82.04% Test Accuracy: 80.75% Time: 525.03s
Epoch 50/150 Train Accuracy: 81.56% Test Accuracy: 80.20% Time: 525.97s
Epoch 51/150 Train Accuracy: 58.81% Test Accuracy: 58.41% Time: 524.31s
Epoch 52/150 Train Accuracy: 83.45% Test Accuracy: 82.27% Time: 524.82s
Epoch 53/150 Train Accuracy: 84.94% Test Accuracy: 84.06% Time: 525.22s
Epoch 54/150 Train Accuracy: 89.52% Test Accuracy: 88.63% Time: 524.16s
Epoch 55/150 Train Accuracy: 88.53% Test Accuracy: 87.19% Time: 524.82s
Epoch 56/150 Train Accuracy: 84.75% Test Accuracy: 83.67% Time: 524.48s
Epoch 57/150 Train Accuracy: 79.12% Test Accuracy: 78.25% Time: 523.67s
Epoch 58/150 Train Accuracy: 85.45% Test Accuracy: 84.72% Time: 524.25s
